method,rmse_brl,mape,mean_predicted_price,actual_mean_price,mean_bias,smearing_factor,rows_after_cleaning
naive exp(log prediction),266510.0507686627,0.25626711713648004,605080.1282926141,631428.3372569089,-26348.208964294754,1.052173538429552,23447
Duan smeared prediction,269888.3571403392,0.273469659060574,636649.2996190471,631428.3372569089,5220.962362138205,1.052173538429552,23447
